Overall,Player,Position,Tier
1,Ja'Marr Chase,WR,1
2,Bijan Robinson,RB,1
3,Jahmyr Gibbs,RB,1
4,Saquon Barkley,RB,1
5,CeeDee Lamb,WR,1
6,Justin Jefferson,WR,1
7,Christian McCaffrey,RB,1
8,Nico Collins,WR,2
9,Puka Nacua,WR,2
10,Malik Nabers,WR,2
11,Drake London,WR,2
12,Brian Thomas,WR,2
13,Amon-Ra St. Brown,WR,2
14,Derrick Henry,RB,2
15,De'Von Achane,RB,2
16,Ashton Jeanty,RB,3
17,AJ Brown,WR,3
18,Brock Bowers,TE,3
19,Chase Brown,RB,3
20,Bucky Irving,RB,4
21,Jonathan Taylor,RB,4
22,Josh Jacobs,RB,4
23,Ladd McConkey,WR,4
24,Trey McBride,TE,5
25,Josh Allen,QB,5
26,Jaxon Smith-Njigba,WR,6
27,Omarion Hampton,RB,6
28,Tee Higgins,WR,6
29,Lamar Jackson,QB,6
30,Tyreek Hill,WR,7
31,Davante Adams,WR,7
32,Kenneth Walker,RB,7
33,Kyren Williams,RB,7
34,TreVeyon Henderson,RB,7
35,Jayden Daniels,QB,7
36,Jalen Hurts,QB,7
37,Alvin Kamara,RB,7
38,George Kittle,TE,7
39,Mike Evans,WR,7
40,James Cook,RB,7
41,Breece Hall,RB,8
42,Garrett Wilson,WR,8
43,Marvin Harrison,WR,8
44,Devonta Smith,WR,8
45,Tetairoa McMillan,WR,8
46,Jameson Williams,WR,8
47,George Pickens,WR,8
48,Calvin Ridley,WR,8
49,Emeka Egbuka,WR,8
50,James Conner,RB,8
51,DK Metcalf,WR,9
52,Xavier Worthy,WR,9
53,Terry McLaurin,WR,9
54,Chuba Hubbard,RB,9
55,Tony Pollard,RB,9
56,RJ Harvey,RB,9
57,Courtland Sutton,WR,9
58,Travis Hunter,WR,9
59,Jaylen Waddle,WR,9
60,DJ Moore,WR,9
61,Joe Burrow,QB,10
62,Rashee Rice,WR,10
63,Stefon Diggs,WR,10
64,Isiah Pacheco,RB,10
65,Ricky Pearsall,WR,10
66,Zay Flowers,WR,10
67,Rome Odunze,WR,10
68,D'Andre Swift,RB,11
69,David Montgomery,RB,11
70,Matthew Golden,WR,11
71,Chris Olave,WR,11
72,Jakobi Meyers,WR,11
73,Aaron Jones,RB,11
74,Jerry Jeudy,WR,11
75,Deebo Samuel,WR,11
76,Sam LaPorta,TE,12
77,Jordan Addison,WR,12
78,Khalil Shakir,WR,13
79,Jaylen Warren,RB,13
80,Tyrone Tracy,RB,13
81,Kaleb Johnson,RB,13
82,JK Dobbins,RB,14
83,Keon Coleman,WR,14
84,Patrick Mahomes,QB,14
85,Josh Downs,WR,14
86,Justin Fields,QB,15
87,Kyler Murray,QB,15
88,Cooper Kupp,WR,15
89,Mark Andrews,TE,15
90,TJ Hockenson,TE,15
91,Drake Maye,QB,15
92,Bo Nix,QB,15
93,Darnell Mooney,WR,15
94,Caleb Williams,QB,15
95,Jauan Jennings,WR,15
96,Jordan Mason,RB,15
97,Brock Purdy,QB,15
98,Dak Prescott,QB,15
99,Baker Mayfield,QB,15
100,Rashid Shaheed,WR,15
101,Michael Pittman,WR,16
102,Christian Kirk,WR,16
103,Justin Herbert,QB,16
104,Travis Etienne,RB,16
105,Tucker Kraft,TE,16
106,Tyler Warren,TE,16
107,Zach Charbonnet,RB,16
108,Jacory Croskey-Merritt,RB,16
109,Luther Burden,WR,16
110,Cam Skattebo,RB,16
111,Travis Kelce,TE,17
112,Chris Godwin,WR,17
113,Evan Engram,TE,17
114,David Njoku,TE,17
115,Austin Ekeler,RB,17
116,Keenan Allen,WR,18
117,Trevor Lawrence,QB,18
118,Jayden Higgins,WR,18
119,Jayden Reed,WR,18
120,Tank Bigsby,RB,18
121,Bhayshul Tuten,RB,18
122,Colston Loveland,TE,18
123,Jaydon Blue,RB,18
124,Jordan Love,QB,18
125,Javonte Williams,RB,18
126,Brandon Aiyuk,WR,19
127,Braelon Allen,RB,19
128,Dylan Sampson,RB,19
129,Dallas Goedert,TE,19
130,Marvin Mims,WR,20
131,Ollie Gordon,RB,20
132,Woody Marks,RB,20
133,Ray Davis,RB,20
134,Nick Chubb,RB,20
135,JJ McCarthy,QB,20
136,Dalton Kincaid,TE,20
137,Demario Douglas,WR,20
138,Rhamondre Stevenson,RB,20
139,Trey Benson,RB,20
140,Jerome Ford,RB,20
141,Jared Goff,QB,20
142,Jake Ferguson,TE,20
143,Jalen Coker,WR,20
144,Cedric Tillman,WR,20
145,Kyle Pitts,TE,20
146,CJ Stroud,QB,20
147,Josh Palmer,WR,21
148,Rico Dowdle,RB,21
149,Tre Harris,WR,21
150,Hollywood Brown,WR,21
151,Pat Bryant,WR,21
152,Xavier Legette,WR,21
153,Rashod Bateman,WR,21
154,Romeo Doubs,WR,21
155,Brian Robinson,RB,21
156,Chig Okonkwo,TE,22
157,Dont'e Thornton,WR,22
158,Rachaad White,RB,22
159,Bryce Young,QB,22
160,Kyle Williams,WR,22
161,Brenton Strange,TE,22
162,Michael Penix,QB,22
163,Hunter Henry,TE,22
164,Zach Ertz,TE,22
165,Wan'Dale Robinson,WR,23
166,Najee Harris,RB,23
167,Tyler Allgeier,RB,23
168,Mason Taylor,TE,23
169,Tua Tagovailoa,QB,23
170,Cam Ward,QB,23
171,Geno Smith,QB,23
172,Adam Thielen,WR,23
173,Sean Tucker,RB,23
174,Kyle Monangai,RB,23
175,Dameon Pierce,RB,23
176,Tory Horton,WR,23
177,Isaac TeSlaa,WR,23
178,Chris Rodriguez,RB,23
179,Adonai Mitchell,WR,24
180,Justice Hill,RB,24
181,Troy Franklin,WR,24
182,Roschon Johnson,RB,24
183,Aaron Rodgers,QB,25
184,Elijah Arroyo,TE,25
185,Quinshon Judkins,RB,25
186,Jack Bech,WR,25
187,Jalen Royals,WR,25
188,Jonnu Smith,TE,25
189,Tahj Brooks,RB,25
190,Matthew Stafford,QB,26
191,Malik Washington,WR,26
192,DeAndre Hopkins,WR,26
193,Isaiah Likely,TE,26
194,Tyjae Spears,RB,26
195,Pat Freiermuth,TE,26
196,Theo Johnson,TE,26
197,Brashard Smith,RB,26
198,Amari Cooper,WR,26
199,Jarquez Hunter,RB,26
200,Ja'Tavion Sanders,TE,26
201,Dyami Brown,WR,26
202,Jaylin Noel,WR,26
203,DJ Giddens,RB,27
204,Harold Fannin,TE,27
205,Alec Pierce,WR,27
206,Olamide Zaccheaus,WR,27
207,Mike Gesicki,TE,27
208,Will Shipley,RB,27
209,Joe Mixon,RB,27
210,KeAndre Lambert-Smith,WR,27
211,Keaton Mitchell,RB,27
212,Dontayvion Wicks,WR,27
213,Roman Wilson,WR,27
214,Kareem Hunt,RB,28
215,Juwan Johnson,TE,28
216,Elic Ayomanor,WR,28
217,Kayshon Boutte,WR,28
218,Cade Otton,TE,28
219,Darius Slayton,WR,28
220,Oronde Gadsden,TE,29
221,Blake Corum,RB,29
222,Jaleel McLaughlin,RB,29
223,Tyler Lockett,WR,29
224,Calvin Austin,WR,29
225,Andrei Iosivas,WR,29
226,Miles Sanders,RB,30
227,Tyler Higbee,TE,30
228,Kendre Miller,RB,30
229,Dalton Schultz,TE,30
230,Sam Darnold,QB,30
231,Jordan Whittington,WR,30
232,Isaac Guerendo,RB,31
233,Parker Washington,WR,31
234,Russell Wilson,QB,31
235,Emanuel Wilson,RB,31
236,Devaughn Vele,WR,31
237,Joe Flacco,QB,31
238,Michael Wilson,WR,31
239,Darren Waller,TE,31
240,Raheem Mostert,RB,31
241,Jaxson Dart,QB,32
242,Trevor Etienne,RB,32
243,Noah Gray,TE,32
244,Quentin Johnston,WR,32
245,Elijah Moore,WR,32
246,Tutu Atwell,WR,32
247,Isaiah Davis,RB,32
248,Jaylen Wright,RB,32
249,Jalen Tolbert,WR,33
250,Tez Johnson,WR,33
251,Denver Broncos,DST,1
252,Philadelphia Eagles,DST,1
253,Pittsburgh Steelers,DST,1
254,Baltimore Ravens,DST,2
255,Minnesota Vikings,DST,2
256,Houston Texans,DST,2
257,Buffalo Bills,DST,2
258,Kansas City Chiefs,DST,3
259,Detroit Lions,DST,3
260,Seattle Seahawks,DST,3
261,Green Bay Packers,DST,3
262,Los Angeles Rams,DST,3
263,Los Angeles Chargers,DST,3
264,San Francisco 49ers,DST,3
265,New York Jets,DST,4
266,Dallas Cowboys,DST,4
267,Tampa Bay Buccaneers,DST,4
268,New England Patriots,DST,4
269,Arizona Cardinals,DST,4
270,Chicago Bears,DST,4
271,New York Giants,DST,4
272,Cleveland Browns,DST,4
273,Washington Commanders,DST,5
274,Miami Dolphins,DST,5
275,Atlanta Falcons,DST,5
276,Indianapolis Colts,DST,5
277,Cincinnati Bengals,DST,5
278,Jacksonville Jaguars,DST,5
279,New Orleans Saints,DST,5
280,Las Vegas Raiders,DST,5
281,Tennessee Titans,DST,5
282,Carolina Panthers,DST,5
283,Brandon Aubrey,K,1
284,Cameron Dicker,K,1
285,Jake Bates,K,1
286,Wil Lutz,K,2
287,Chase McLaughlin,K,2
288,Ka'imi Fairbairn,K,2
289,Chris Boswell,K,2
290,Harrison Butker,K,2
291,Tyler Bass,K,3
292,Evan McPherson,K,3
293,Matt Gay,K,3
294,Jake Elliott,K,3
295,Tyler Loop,K,3
296,Younghoe Koo,K,3
297,Will Reichard,K,3
298,Joshua Karty,K,4
299,Brandon McManus,K,4
300,Daniel Carlson,K,4
301,Cam Little,K,4
302,Jason Sanders,K,4
303,Jake Moody,K,4
304,Jason Myers,K,4
305,Cairo Santos,K,4
306,Graham Gano,K,4
307,Chad Ryland,K,4
308,Blake Grupe,K,4
309,Spencer Shrader,K,5
310,Andy Borregales,K,5
311,Nick Folk,K,5
312,Joey Slye,K,5
313,Dustin Hopkins,K,5
314,Matthew Wright,K,5
315,Ryan Fitzgerald,K,6
316,Andre Szmyt,K,6
317,Justin Tucker,K,6
318,Harrison Mevis,K,6
319,Eddy Pineiro,K,6
320,Matt Prater,K,6
321,Parker Romo,K,6
322,Riley Patterson,K,6
323,Mark McNamee,K,6
324,Caden Davis,K,6
325,Jude McAtamney,K,6
326,Greg Zuerlein,K,7
327,Greg Joseph,K,7
328,Andrew Wellock,K,7
329,Charlie Smyth,K,7
330,Ben Sauls,K,7
331,Lenny Krieg,K,7